text,category
spain coach face racism inquiry spain football federation initiated disciplinary action national coach luis aragones racist comment thierry henry found guilty aragones could lose job face fine federation initially declined take action aragones comment made national team training session october president angel maria villar changed mind request spain antiviolence commission aragones insisted comment made henry arsenal clubmate jose antonio reyes meant motivate player intended offensive never intended offend anyone reason easy conscience said time obliged motivate player get best result part job use colloquial language understand within framework football world england player made point wearing antiracism tshirts training friendly spain madrid last month storm increased following racist chanting spanish fan england black player game spain spain minister sport jaime lissavetzky quick give backing federation decision everyone public function consider declaration make sure give negative image said going zero tolerance question racism,sport
man auction space forehead yearold man selling advertising space forehead highest bidder website ebay andrew fisher omaha nebraska said would nonpermanent logo brand name tattooed head day way see selling something already day get back told bbc today programme fisher received bid far largest bid currently winner able send tattoo tattoo parlour get temporary ink tattoo forehead something choose company name domain name perhaps logo told radio programme online auction fisher describes average american joe give take sale pitch add take advantage radical advertising campaign become part history fisher said would accept brand name logo wouldnt around swastika anything racial added wouldnt around mark beast wouldnt promote anything socially unacceptable adult website store said would use money pay college planning study graphic design entrepreneur said mother initially surprised decision following medium attention felt thinking outside box,tech
nasdaq planning mshare sale owner technologydominated nasdaq stock index plan sell share public list market operates according registration document filed security exchange commission nasdaq stock market plan raise sale observer see another step closer full public listing however nasdaq icon technology boom recently poured cold water suggestion company first sold share private placement technically went public stock started trading otc bulletin board list equity trade occasionally nasdaq make money sale investor bought share private placings filing document said nasdaq made share technology firm company high growth potential potent symbol internet telecom boom nosediving bubble burst recovery fortune tech giant intel dotcom survivor amazon helped revive fortune,business
halloween writer debra hill screenwriter producer debra hill best known work horror classic halloween died los angeles aged hill suffering cancer cowrote film starred jamie lee curtis babysitter terrorised psychopath directed john carpenter made worldwide record independent film time hill also worked carpenter escape new york fog born new jersey hill began career production assistant worked way rank becoming assistant director secondunit director began collaborating carpenter regarded many pioneering woman film taking job commonly taken men back started woman industry said assumed makeup hair person script person never assumed writer producer took look around realised werent many woman carve niche carpenter said working hill one greatest experience life ground trailblazed beginning followed anyone incredibly capable talented said carpenter hill collaborated number halloween sequel including halloween halloween resurrection halloween curse michael myers later career hill formed production company friend lynda obst making string hit film including oscar nominee fisher king teen comedy adventure babysitting film included stephen king adaptation dead zone clue comedy based board game cluedo pursued work although reunited carpenter escape sequel escape new york time death working film last two men pulled rubble twin tower following september terror attack also coproducing remake fog due release early next year,entertainment
trade gap hit record gap export import hit alltime high latest figure show commerce department said trade deficit last year previous record imbalance deficit china largest ever recorded single country however monthly basis trade gap narrowed december consumer appetite thing oil imported car even wine cheese reached record level last year figure likely spark fresh criticism president bush economic policy democrat claim administration done enough clamp unfair foreign trade practice example believe china currency policy manufacturer claim undervalued yuan much given china rapidly expanding economy unfair advantage competitor meanwhile bush administration argues deficit reflects fact america growing faster rate rest world spurring demand imported good economist say may allow upward revision economic growth fourth quarter others point deficit reached astronomical proportion foreigner many choose hold many dollardenominated asset may turn harm growth export rose trillion import rose even faster new record trillion foreign oil export surged record reflecting rally global oil price increasing domestic demand import affected dollar weakness last year expect deficit continue widen even dollar get back downward trend said economist mariepierre ripert ixis,business
economy stronger forecast economy probably grew faster rate third quarter reported according bank england deputy governor rachel lomax private sector business survey suggest stronger economy official estimate lomax said survey collectively show rapid slowdown house price growth pointed mean despite strong economic growth base rate probably stay hold official data come office national statistic ons though reliable ons data take longer publish boe calling faster delivery data make effective policy decision recent work bank shown private sector survey add value even preliminary ons estimate available lomax said speech north wale business club ons due publish second estimate third quarter growth friday mpc judge overall growth little higher third quarter official data currently indicate lomax said bank said successful monetary policy depends good information rachel lomax cited late example time weak economic figure published substantially revised upwards year later statistical fog surrounding true state economy proved particularly potent breeding ground policy error past said improving quality national statistic single best way making sure monetary policy committee mpc make right decision said bank england working tandem ons improve quality speed delivery data remark follow criticism house lord economic affair committee said mpc held interest rate high given inflation way target slowdown housing market year surge oil price made economic forecasting tricky leading uncertain outlook year rising oil price significant slowdown housing market awoken bad memory lomax said mpc well achieve stability next decade enjoyed past year decision interest rate made mpc gather together range indicator available every month clearest signal come indicator pointing direction lomax intimated economic assessment safety number,business
poppins musical get flying start stage adaptation childrens film mary poppins opening night london west end sir cameron mackintosh lavish production cost bring stage given minute standing ovation lead actress laura michelle kelly soared head audience holding nanny trademark umbrella technical hitch prevented mary poppins flight auditorium preview performance number celebrity turned musical premiere including actress barbara windsor comic graham norton sir richard attenborough show director richard eyre issued warning earlier week show unsuitable child seven underthrees barred mary poppins originally created author pamela travers said cried saw disney film starring julie andrew travers intended story lot darker perennial family favourite theatre impresario sir cameron mackintosh said hope musical blend sweetnatured film original book,entertainment
yukos owner sue russia majority owner embattled russian oil firm yukos sued russian government kremlin last year seized sold yukos main production arm yugansk staterun oil group rosneft offset massive back tax bill group menatep gibraltarbased holding company control yukos say illegal menatep already asked rosneft repay loan yugansk secured asset russian government argument selling yuganskneftegaz unit full name yukos owed back tax year onwards accused firm using web offshore firm avoid tax liability court sent bailiff freeze yukos account seize yugansk critic say selloff assault yukos finance part attempt bring energy industry back state control according menatep government action contrary energy charter treaty designed regulate disagreement energy investment warned russian government continuing attack yukos personnel shareholder warned buyer yuganskneftegaz would face lifetime litigation said tim osborne director group menatep time warning action recover value loss begin earnest today menatep said value yukos shareholding gone virtually nothing since result russian government action share fallen according paris lawyer emmanuel gaillard shearman sterling overall claim based figure addition share gain could accrued since arbitration lawsuit could take place stockholm hague gaillard said russia signed charter never ratified expert say could make difficult menatep press case gaillard told bbc news charter came effect signature ratification russia said past bound attract foreign investor said yukos still waiting see happen filing court bankruptcy protection took action try prevent forced sale yugansk first littleknown shell company turn bought rosneft yukos claim downfall punishment political ambition founder mikhail khodorkovsky khodorkovsky currently facing fraud tax evasion charge one founder menatep since signed shareholding one fellow investor,business
gangster dominate gaming chart video game console computer proved popular ever gamers spent almost according figure released gaming industry trade body sale record smashed top title year gta san andreas player got job turning central character crime bos game sold million copy first nine day sale feat made fastest selling video game time although released november sprawling story gun gangster game beat strong competition year end sold million copy also record set number game achieved doubleplatinum status selling copy five title including sony eyetoy play need speed underground managed feat according figure compiled charttrack entertainment leisure software publisher association elspa electronic art world biggest game publisher game top stellar year said roger bennett director general elspa year new generation console released market continued buoyant industry matured increasingly diverse range game reached new audience broadened player base across age gender said part success game could due fact many sequel top title followup established franchise direct sequel previously popular game halo sims driver need speed fifa football burnout proved popular original title despite fondness older game doom make top movie tieins also proved worth game linked shrek incredibles spiderman harry potter lord ring top elspa noted sale xbox game rose year however sonys playstation top seller spent game used buy title console despite winning award rave review halflife appear list released compared console title sold relatively small number also novel distribution system adopted developer valve meant many player downloaded title rather travel shop buy copy valve yet release figure show many copy game sold way,tech
daimlerchryslers sale rise usgerman carmaker daimlerchrysler sold car previous year solid chrysler sale offset weak showing mercedes sale totalled million unit worldwide company said detroit motor show switch new model hit luxury marque mercedesbenz sale million chrysler avoided fate rival ford general motor lost ground japanese firm sale rose million unit similarly smart brand compact car division sale jumping future brand controlled mercedes group within daimlerchrysler remains question however smart consistently lost money since started trading new model launch hold said mercedes chief executive eckhard cordes europe smart sale regular mercedes dealership well dealer network cordes said,business
tottenham bid forest duo nottingham forest confirmed received bid tottenham andy reid michael dawson reid rejected move southampton forest accepted cashplusplayers offer spur made previous bid yearold spur also made undisclosed offer yearold defender dawson forest chief executive mark arthur said weve received bid spur two player considering offer southamptons offer republic ireland international reid comprised mplus two player brett ormerod darren kenton spur seen previous bid reid rejected championship club,sport
mourinho expects fight finish chelsea manager jose mourinho expects champion league clash barcelona fight finish mourinho relishing first leg tie former club last nou camp said wouldnt surprised nothing decided last minute return leg match extra time defend mine champion league mine moment last manager mourinho never coached barcelona assisting sir bobby robson louis van gaal envious insisting dont jealous barcelona year history european cup managing five year amount champion league trophy name barcelona star ronaldinho admitted think going difficult match chelsea good team full big star seen chelsea time television tactically good strong counterattack pressure well keep possession ball important play game believe two strongest team europe nevertheless barcelona accustomed playing big game nou camp face like real madrid season special game atmosphere city change lot journalist inside dressing room lot difference ronaldinho added thinking winning match respect opposition,sport
new drink limit would cut toll life previously thought could saved cutting drinkdrive limit third report say university college london research claim cutting limit alcohol per blood would save life year finding published parliamentary advisory council transport safety due vote government road safety bill bill includes change speeding fine drinkdrive limit research carried transport expert professor richard allsop say cutting limit would also lead fewer serious injury road compared estimate would save country year previous estimate contained department transport document suggested move could save life year finding based assumption driver currently keep legal limit would continue lowered tend exceed limit slightly would also lower drinking professor allsop said reducing limit expected save around life year around half die accident driver bac blood alcohol content within current limit one driving weekend evening night need moderate drinking achieve fewer still time minister support lower limit saying clear would major impact drink drive casualty believe educating driver important motoring trust said sure affect dropping limit would driver attitude drinkdriving road safety head andrew howard said remains seen whether social disapproval drinking driver stay current rate alcohol limit cut parliamentarian need consider carefully briton police consensus much effectively weight enforcement alone liberal democrat transport spokesman john thurso said drinkdriving remained major killer figure showing worrying rise number accident involving driver drinking said drop number driver breathalysed since said government needed address wanted reduce danger caused drinkdriving road safety bill get second reading tuesday would allow result roadside breath test used court currently blood test needed also includes plan staggered speeding fine point system penalising driver exceed limit wide margin caught going criticised road safety campaigner including labour backbencher gwyneth dunwoody say reduce incentive driver stay within limit residential area leading road casualty article time newspaper dunwoody chair transport select committee say slight increase low car speed increase hugely risk pedestrian cyclist quite simple hit someone mph per cent chance survival going mph nine time ten die,politics
usher lead billboard nomination singer usher leading race billboard award nomination category including best male alicia key nomination award held december mgm grand vega multiple nominee include maroon outkast kanye west kelly gretchen wilson hoobastank jayz soul singer stevie wonder receive billboard century award magazine highest honour creative achievement ceremony award hosted american idol presenter ryan seacrest feature performance usher gwen stefani nelly green day usher key battling prize including artist year hot songwriter year billboard album year respective album confession diary alicia key maroon outkast also artist year outkasts speakerboxxxthe love finalist billboard album year alongside josh grobans closer award honour year leading artist song determined performance billboard weekly chart,entertainment
malaysia lift islamic bank limit malaysia central bank relax restriction foreign ownership encourage islamic banking bank malaysia able sell islamic banking unit limit kind bank remains rhb malaysia thirdbiggest lender already scouting foreign partner new islamic banking unit firm told reuters move put malaysia ahead deadline open sector country deal join world trade organisation set year deadline liberalisation islamic banking also tuesday central bank released growth figure showing malaysia economy expanded growth slowed sharply fourth quarter central bank said expected expansion malaysia changed law allow islamic banking granted licence three middle eastern group along local player mean eight fullyoperational islamic banking group country islamic bank offer service permit modern banking principle sticking islamic law ban payment interest malay make half country population muslim,business
hereford doncaster hereford win penalty rover took lead minute michael mcindoes corner found adriano rigoglioso whose stunning volley soared top right net danny williams equalised host minute crisp finish insist penalty box mcindoe saw extratime penalty saved giving mill chance net winning penalty mawson travis mkandawire james robinson daniel williams stanley hyde pitman purdie mill brown stansfield green sub used smith scott james daniel williams ingham mulligan fenton morley priet ryan mcindoe ravenhill price rigoglioso tierney jackson beardsley coppinger sub used warrington maloney rigoglioso parkes midland,sport
ibm free software patent computer giant ibm say software patent released open development community move mean developer able use technology without paying licence company ibm described step new era dealt intellectual property promised patent would made freely available patent include software range practice including text recognition database management traditional technology business policy amass patent despite ibms announcement company continues follow route ibm granted patent firm new york time report past year ibm granted patent company ibm received patent period reportedly current patent statement john kelly ibm senior vice president technology intellectual property said true innovation leadership number patent granted innovating benefit customer partner society pledge today beginning new era ibm manage intellectual property past ibm supported noncommercial operating system linux although critic said done attempt undermine microsoft company said wanted encourage firm release patent called patent common adam jollans ibms worldwide linux strategy manager said move genuine attempt encourage innovation believe releasing patent result innovation moving quickly encouraging collaboration following model much like academia jollans likened plan patent common way internet developed said everyone could take advantage result collaboration internet impact everyone benefit everyone take advantage stuart cohen chief executive firm open source development lab said move could mean change way company deal patent think company follow suit said everyone supportive florian mueller campaign manager group lobbying toprevent software patent becoming legal european uniondismissed ibms move insubstantial diversionary tactic wrote mueller leadsnosoftwarepatentscom message group website let put perspective talking aboutroughly one percent ibms worldwide patent portfolio filethat number patent month time added ibm continue hold patent pledged seek royalty patent company said would place restriction company group individual use opensource project open source software developed programmer offer source code origin program free allow others adapt improve software end user right modify redistribute software well right package sell software area covered patent released ibm include storage management simultaneous multiprocessing image processing networking ecommerce,tech
